"genome_id","data_source","contig_length","dtr_length","genes_viral","genes_plasmid","genes_microbial","genes_unknown","biome1","biome2","biome3","gca_name"
"DTR_001891","IMG/M",12846,784,2,0,0,16,"Engineered","Wastewater","Nutrient removal",NULL
"DTR_003403","IMG/M",4496,91,2,0,0,4,"Engineered","Wastewater","Nutrient removal",NULL
"DTR_003505","IMG/M",6438,50,1,0,0,11,"Host-Associated","Mammals","Digestive system",NULL
"DTR_003844","IMG/M",6558,50,1,0,0,4,"Host-Associated","Mammals","Digestive system",NULL
"DTR_003989","IMG/M",4748,50,3,0,0,3,"Host-Associated","Mammals","Digestive system","GCA_001503475.1"
"DTR_003992","IMG/M",13938,37,2,0,1,18,"Host-Associated","Mammals","Digestive system",NULL
"DTR_003997","IMG/M",6438,50,1,0,0,11,"Host-Associated","Mammals","Digestive system",NULL
"DTR_004013","IMG/M",7054,50,1,0,0,10,"Host-Associated","Mammals","Digestive system",NULL
"DTR_004015","IMG/M",9360,50,1,0,0,16,"Host-Associated","Mammals","Digestive system",NULL
"DTR_004524","IMG/M",15879,383,2,0,0,20,"Aquatic","Marine","Intertidal zone",NULL
"DTR_004668","IMG/M",9210,105,3,0,0,10,"Aquatic","Marine","Intertidal zone",NULL
"DTR_005113","IMG/M",4691,75,1,0,0,6,"Aquatic","Marine","Intertidal zone",NULL
"DTR_005266","IMG/M",3026,98,1,0,0,2,"Host-Associated","Invertebrates","Digestive system",NULL
"DTR_005356","IMG/M",6537,149,1,0,0,11,"Host-Associated","Mammals","Digestive system",NULL
"DTR_005710","IMG/M",11229,63,7,1,0,10,"Engineered","Biotransformation","Microbial solubilization of coal","GCA_000881375.1"
"DTR_005943","IMG/M",6146,53,1,0,0,9,"Aquatic","Thermal springs","Hot (42-90C)",NULL
"DTR_005949","IMG/M",10046,90,2,0,0,12,"Aquatic","Marine","Wetlands",NULL
"DTR_005988","IMG/M",9508,644,2,0,0,20,"Aquatic","Marine","Neritic zone",NULL
"DTR_005990","IMG/M",8942,105,3,0,0,11,"Aquatic","Marine","Neritic zone",NULL
"DTR_006007","IMG/M",4651,79,1,0,0,7,"Aquatic","Marine","Neritic zone",NULL
"DTR_006292","IMG/M",9139,99,1,0,0,11,"Aquatic","Marine","Neritic zone",NULL
"DTR_006310","IMG/M",5045,590,1,0,0,12,"Aquatic","Marine","Neritic zone",NULL
"DTR_006350","IMG/M",15420,83,3,0,0,22,"Aquatic","Marine","Neritic zone",NULL
"DTR_006353","IMG/M",10709,47,2,0,0,13,"Aquatic","Marine","Neritic zone",NULL
"DTR_006355","IMG/M",9639,1666,0,0,0,12,"Aquatic","Marine","Neritic zone",NULL
"DTR_006424","IMG/M",9128,102,1,0,0,12,"Aquatic","Marine","Neritic zone",NULL
"DTR_006425","IMG/M",8787,85,2,0,0,18,"Aquatic","Marine","Neritic zone",NULL
"DTR_006442","IMG/M",5547,979,1,0,0,14,"Aquatic","Marine","Neritic zone","GCA_004203715.1"
"DTR_006445","IMG/M",4903,79,0,0,0,9,"Aquatic","Marine","Neritic zone",NULL
"DTR_006450","IMG/M",4409,74,1,0,0,6,"Aquatic","Marine","Neritic zone",NULL
"DTR_006989","IMG/M",4863,87,1,0,0,0,"Aquatic","Marine","Intertidal zone",NULL
"DTR_007012","IMG/M",2481,93,1,0,0,0,"Aquatic","Marine","Intertidal zone",NULL
"DTR_007077","IMG/M",11475,60,1,0,0,18,"Aquatic","Freshwater","Lentic",NULL
"DTR_007122","IMG/M",4481,38,4,0,0,1,"Aquatic","Marine","Intertidal zone","GCA_003502185.1"
"DTR_007129","IMG/M",12339,20,5,0,0,10,"Aquatic","Marine","Intertidal zone","GCA_000900795.1"
"DTR_007192","IMG/M",6337,73,2,0,0,6,"Engineered","Solid waste","Composting",NULL
"DTR_007276","IMG/M",8956,101,2,0,0,17,"Aquatic","Marine","Intertidal zone",NULL
"DTR_007336","IMG/M",2471,83,1,0,0,0,"Aquatic","Marine","Intertidal zone",NULL
"DTR_007930","IMG/M",19972,68,2,0,0,38,"Aquatic","Freshwater","Groundwater",NULL
"DTR_007971","IMG/M",2214,78,1,0,0,3,"Aquatic","Freshwater","Groundwater",NULL
"DTR_007983","IMG/M",18097,195,3,0,0,23,"Aquatic","Freshwater","Groundwater",NULL
"DTR_008023","IMG/M",2233,101,1,0,0,3,"Aquatic","Freshwater","Groundwater",NULL
"DTR_008128","IMG/M",6144,46,2,0,0,2,"Aquatic","Marine","Oceanic",NULL
"DTR_008139","IMG/M",2414,26,1,0,0,0,"Aquatic","Marine","Oceanic",NULL
"DTR_008198","IMG/M",10039,83,2,0,0,13,"Aquatic","Marine","Wetlands",NULL
"DTR_008469","IMG/M",6748,81,1,0,0,10,"Aquatic","Non-marine saline","Alkaline","GCA_000924375.1"
"DTR_008854","IMG/M",9389,97,3,0,0,7,"Aquatic","Marine","NA",NULL
"DTR_008904","IMG/M",14358,101,4,0,0,13,"Aquatic","Non-marine saline","Hypersaline",NULL
"DTR_008905","IMG/M",9063,66,2,0,0,8,"Aquatic","Non-marine saline","Hypersaline",NULL
"DTR_009104","IMG/M",14358,101,4,0,0,13,"Aquatic","Non-marine saline","Hypersaline",NULL
"DTR_009109","IMG/M",9066,69,2,0,0,8,"Aquatic","Non-marine saline","Hypersaline",NULL
